id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
6787,Wii,Chicken Shoot,$3.00,$4.63,$14.00,,$3.19,$1.00,$4.99,$3.00,$14.99,B000NVSPQM,110636294,$4.99,
30900,Wii,Chicken Shoot Bundle,$8.99,$12.59,$13.50,$1.88,$9.39,$2.60,$12.99,$2.80,$13.99,B002HNUDZU,,,
13811,Wii,Chronicles of Narnia Prince Caspian,$2.37,$4.88,$6.97,,$2.49,$1.00,$5.09,$1.50,$7.29,B00139PR5U,61661631,$4.99,
16387,Wii,Chrysler Classic Racing,$2.47,$4.49,$11.99,,$2.59,$1.00,$4.99,$2.60,$12.99,B00189MNNO,69923667,$4.99,$0.40
21598,Wii,Chuck E Cheese's Party Games,$7.00,$10.99,$29.98,$1.48,$7.39,$2.40,$11.99,$9.30,$30.99,B0037BSTZC,80852104,$9.99,$1.60
37239,Wii,Chuck E Cheese's Super Collection ,$24.95,$40.40,,$7.80,$25.99,$16.80,$41.99,,,B004ZGYYYI,110628512,,
31008,Wii,Chuck E. Cheese's Sports Games,$19.09,$36.00,$34.66,$4.00,$19.99,$15.20,$37.99,$14.40,$35.99,B003M986XY,93195730,$19.99,$4.00
16192,Wii,Cid the Dummy,$3.25,$5.50,$5.99,,$3.39,$1.20,$5.79,$1.30,$6.29,B001B0AXVE,56369155,$4.99,$0.20
16124,Wii,Circus Games,$3.34,$4.05,$1.04,,$3.49,$1.00,$4.99,,$1.99,B001EJZ93Y,70572634,$4.99,
21367,Wii,City Builder,$6.99,$15.99,$14.95,$1.46,$7.29,$3.40,$16.99,$3.20,$15.99,B002UZXHFI,80115317,$4.99,
11038,Wii,Classic British Motor Racing,$5.99,$7.50,$10.00,$1.26,$6.29,$1.60,$7.89,$2.20,$10.99,B00125OMYM,63165881,$4.99,$0.80
19595,Wii,Cloudy with a Chance of Meatballs,$4.00,$5.77,$12.50,$0.84,$4.19,$1.20,$6.09,$2.60,$12.99,B00242KD54,72609349,$6.99,$1.00
22045,Wii,Club Penguin: Game Day,$3.47,$3.50,$9.94,,$3.59,$1.00,$4.99,$2.00,$9.99,B003P8O16S,92935096,$4.99,
13989,Wii,Cocoto Kart Racer,$8.53,$9.99,$9.99,$1.80,$8.99,$2.00,$9.99,$2.00,$9.99,B0016MJ7PA,66015774,$4.99,$0.80
14487,Wii,Cocoto Magic Circus,$0.99,$2.55,$6.50,,$1.99,$1.00,$4.99,$1.40,$6.79,B00109KMOY,58651654,$4.99,
8746,Wii,Code Lyoko Quest for Infinity,$5.12,$7.33,$14.99,$1.00,$4.99,$1.50,$7.69,$3.20,$15.99,B000NZV3H6,58997940,$4.99,
20051,Wii,Cold Stone Creamery: Scoop It Up,$2.25,$3.15,$8.94,,$2.39,$1.00,$4.99,$1.90,$9.39,B002GHHJP4,78539482,$4.99,
26517,Wii,Colt's Wild West Shootout,$3.60,$6.09,$18.75,$0.76,$3.79,$1.30,$6.39,$4.00,$19.99,B003E6VJZC,92881124,$4.99,
31343,Wii,Conduit 2,$14.03,$16.29,$26.00,$3.00,$14.99,$3.40,$16.99,$8.10,$26.99,B003GB4UXI,92971937,$4.99,$0.40
31344,Wii,Conduit 2 Limited Edition,$12.95,$12.99,$59.95,$2.80,$13.99,$3.40,$16.99,$25.20,$62.99,,96977223,,
19794,Wii,Cook Wars,$6.99,$12.95,$29.99,$1.46,$7.29,$2.80,$13.99,$9.30,$30.99,B002JTMNTQ,77438099,$4.99,$0.40
32980,Wii,Cooking Mama 2 Pack,$19.99,$23.47,$69.99,$6.30,$20.99,$7.50,$24.99,$29.20,$72.99,B008E6ZXK4,140654223,,
7299,Wii,Cooking Mama Cook Off,$2.53,$4.12,$9.48,,$2.69,$1.00,$4.99,$2.00,$9.99,B000KUHR8S,56280957,$6.99,$0.60
16025,Wii,Cooking Mama World Kitchen,$4.78,$5.30,$10.94,$1.00,$4.99,$1.10,$5.59,$2.20,$10.99,B001A3ZDKS,62096340,$4.99,$0.40
16244,Wii,Coraline,$17.60,$20.99,$14.99,$3.60,$17.99,$6.60,$21.99,$3.20,$15.99,B001B3J9S4,66993650,$14.99,$3.20
7300,Wii,Cosmic Family,$1.75,$1.99,$12.63,,$1.99,$1.00,$4.99,$2.60,$12.99,B000ME252U,57430901,$4.99,
8766,Wii,Counter Force,$3.37,$4.58,$7.99,,$3.49,$1.00,$4.99,$1.70,$8.39,B000QJLQBW,60162314,$4.99,
31354,Wii,Country Dance,$7.73,$7.95,$14.25,$1.62,$8.09,$1.70,$8.39,$3.00,$14.99,B004J30X4W,99115629,$4.99,$0.40
33878,Wii,Country Dance 2,$9.00,$9.75,$19.99,$1.90,$9.49,$2.00,$9.99,$6.30,$20.99,B0057PERPM,110822961,$4.99,
21643,Wii,Cradle of Rome,$2.98,$9.99,$9.48,,$3.09,$2.00,$9.99,$2.00,$9.99,B001RL8X2I,71554684,$4.99,$0.20
10875,Wii,Cranium Kabookii,$2.25,$4.95,$5.99,,$2.39,$1.00,$5.19,$1.30,$6.29,B000VB16PQ,62371146,$4.99,
15674,Wii,Crash Mind Over Mutant,$13.25,$15.50,$70.00,$2.80,$13.99,$3.20,$15.99,$29.60,$73.99,B0018YDK9K,66223832,$19.99,$2.40
8773,Wii,Crash of the Titans,$9.95,$9.97,$33.15,$2.00,$9.99,$2.00,$9.99,$10.50,$34.99,B000TGB4R8,59958267,$9.99,$1.60
22155,Wii,Crayola Colorful Journey,$3.74,$4.25,$9.95,$0.78,$3.89,$1.00,$4.99,$2.00,$9.99,B001L8DKJI,71607903,$4.99,
